prob_name,absolute_cox,cox
209728_at,2.720987197,2.720987197
215666_at,2.513601714,2.513601714
203948_s_at,2.09614669,-2.09614669
227860_at,2.057026504,-2.057026504
209795_at,1.965111934,1.965111934
215925_s_at,1.958998859,1.958998859
207843_x_at,1.941414068,1.941414068
200743_s_at,1.939856841,1.939856841
215726_s_at,1.922822825,1.922822825
1559459_at,1.921168363,-1.921168363
208302_at,1.912802768,1.912802768
209366_x_at,1.885694618,1.885694618
201324_at,1.869770404,1.869770404
203949_at,1.855692556,-1.855692556
225361_x_at,1.854663866,1.854663866
222673_x_at,1.833927631,1.833927631
218829_s_at,1.768655088,-1.768655088
225286_at,1.761722388,1.761722388
206001_at,1.761138215,-1.761138215
213400_s_at,1.741590106,-1.741590106
203628_at,1.74141232,-1.74141232
238689_at,1.729350768,1.729350768
202806_at,1.723002201,-1.723002201
1405_i_at,1.714405633,1.714405633
217362_x_at,1.709664624,1.709664624
200742_s_at,1.701143025,1.701143025
213906_at,1.6733919,1.6733919
205859_at,1.66454448,1.66454448
218510_x_at,1.64955091,-1.64955091
217798_at,1.642975017,-1.642975017
222182_s_at,1.628437119,-1.628437119
244280_at,1.61821013,1.61821013
218847_at,1.616191322,1.616191322
204159_at,1.615130363,1.615130363
210512_s_at,1.61172712,-1.61172712
204914_s_at,1.609798821,-1.609798821
228264_at,1.605951338,1.605951338
201301_s_at,1.604474426,1.604474426
225273_at,1.600475651,1.600475651
226878_at,1.595663025,1.595663025
227611_at,1.593151443,1.593151443
229145_at,1.563596136,1.563596136
223696_at,1.557189426,1.557189426
223695_s_at,1.544520678,1.544520678
230131_x_at,1.54444647,1.54444647
212560_at,1.538385255,1.538385255
208998_at,1.533693806,1.533693806
226123_at,1.52761232,-1.52761232
1555852_at,1.525041201,1.525041201
205290_s_at,1.524413915,-1.524413915
204655_at,1.522285915,1.522285915
201302_at,1.520231486,1.520231486
206940_s_at,1.512810627,-1.512810627
209823_x_at,1.508804699,1.508804699
203054_s_at,1.508651503,1.508651503
218469_at,1.5079415,1.5079415
203509_at,1.503450824,1.503450824
203186_s_at,1.502634457,1.502634457
222389_s_at,1.502545667,-1.502545667
227210_at,1.494619755,-1.494619755
214124_x_at,1.482378586,1.482378586
201325_s_at,1.480089784,1.480089784
204913_s_at,1.479033861,-1.479033861
209011_at,1.474540037,-1.474540037
218723_s_at,1.473343958,1.473343958
1554733_at,1.468760808,1.468760808
229390_at,1.46481452,1.46481452
238071_at,1.461251767,1.461251767
235010_at,1.455838359,1.455838359
229465_s_at,1.455595256,-1.455595256
206896_s_at,1.455270443,1.455270443
220189_s_at,1.447488914,-1.447488914
227770_at,1.447308396,1.447308396
225011_at,1.442812333,1.442812333
217584_at,1.441796373,-1.441796373
201312_s_at,1.436242668,1.436242668
212761_at,1.433626099,-1.433626099
218486_at,1.430209909,-1.430209909
228831_s_at,1.4272615,1.4272615
225280_x_at,1.424554242,1.424554242
224664_at,1.419672562,1.419672562
230441_at,1.418512803,-1.418512803
204999_s_at,1.417959362,-1.417959362
220359_s_at,1.416914729,1.416914729
210448_s_at,1.416650909,1.416650909
221941_at,1.411988504,1.411988504
228462_at,1.409887317,-1.409887317
226764_at,1.407861195,-1.407861195
213817_at,1.407797348,1.407797348
222146_s_at,1.4067994,-1.4067994
228402_at,1.4061868,-1.4061868
201814_at,1.40594755,1.40594755
218468_s_at,1.40364309,1.40364309
238462_at,1.40203449,1.40203449
202778_s_at,1.3935933,-1.3935933
235568_at,1.393400813,-1.393400813
226632_at,1.391262078,-1.391262078
221558_s_at,1.389253188,1.389253188
209448_at,1.388018383,1.388018383
236951_at,1.385540383,-1.385540383
209012_at,1.385334877,-1.385334877
226368_at,1.384861018,-1.384861018
212387_at,1.381870993,-1.381870993
201163_s_at,1.381204353,1.381204353
213603_s_at,1.377995639,1.377995639
208178_x_at,1.376104079,-1.376104079
209436_at,1.372344815,1.372344815
211202_s_at,1.370507852,-1.370507852
204279_at,1.365757423,1.365757423
209101_at,1.364836625,1.364836625
224604_at,1.362601553,1.362601553
203912_s_at,1.35832189,1.35832189
219173_at,1.357417014,1.357417014
226344_at,1.354286079,1.354286079
217742_s_at,1.35219255,-1.35219255
1559826_a_at,1.350184721,1.350184721
202854_at,1.349211977,1.349211977
229967_at,1.348486457,1.348486457
211675_s_at,1.346017552,1.346017552
1555759_a_at,1.345949704,1.345949704
