	h_avg	h_train1	h_train2	h_train3	h_train4	h_train5	whole_data
1053_at	0.17673654309842743	0.2080131228198531	0.5317479244893851	0.01618052312441293	0.1065281232723113	0.02121302178617473	0.15520572449428766
121_at	0.09089981068107797	0.00413473205849942	0.1892018015742127	0.08929849457927033	0.0029915183350936883	0.16887250685831365	0.12170416357862342
1405_i_at	0.2788387237255935	0.39487988344542746	0.2854273272651625	0.3729773418375425	0.29872605111059425	0.04218301496924075	0.2707519609294963
1552256_a_at	0.6469468425466134	0.36855249091866565	0.7686769769391569	0.6014320106917773	0.6935578110090983	0.8025149231743691	0.7227260060625449
1552257_a_at	0.4218416186802017	0.25074694788079677	0.4209361669266345	0.2874787614571998	0.4784970350594898	0.6715491820768875	0.44739193350074175
1552263_at	0.2582301312545854	0.012021955711151038	0.6209261933430325	0.09498738703945137	0.2374055533472064	0.3258095668320858	0.2676934817212324
1552264_a_at	0.3178265800478023	0.10121978455113	0.6568478491912866	0.2851316280109869	0.21174396570031817	0.33418967278529005	0.31416523137378116
1552274_at	0.2281554089613643	0.27246736143927447	0.01117614982781643	0.4882395605934	0.018083145351162302	0.3508108275951682	0.1254368525944384
1552275_s_at	0.3499407189311029	0.0951046897313857	0.02245330337580733	0.6664703697831572	0.475812225103709	0.4898630066614554	0.39220529661321507
1552277_a_at	0.13203153142333934	0.045219414411899	0.18684615282721145	0.3692555994690896	0.01857339871664971	0.040263091691846976	0.14380322900018805
1552279_a_at	0.21347158601531574	0.15388150530611386	0.10238296289606065	0.36761455696673356	0.28554981570993926	0.15792908919773144	0.27293885772203796
1552281_at	0.1134759362075185	0.0717257280178506	0.09860444375292031	0.23981973392254802	0.06608821064793038	0.09114156469634319	0.12632672319575233
1552287_s_at	0.23105053724675667	0.28486245575033686	0.29886981621174985	0.07958646242251279	0.11024610977538242	0.3816878420738013	0.18602872507848464
1552291_at	0.24735425672182593	0.3949969880032951	0.13611781223008304	0.18146651403903263	0.3842106767401983	0.13997929259652062	0.23653653911255762
1552301_a_at	0.46258004985311185	0.6218467489682045	0.14063679488367828	0.6593588882752063	0.5349762007001722	0.3560816164382982	0.5065792381574447
1552302_at	1.121671520394508	0.8780879065898126	1.0626945381094195	0.7569235227338824	1.5071063815653025	1.403545252974123	1.2519677315804938
